1418k  114.254.91.15:4000
1285k  cn.zzmd.fun:8888
1275k  123.113.108.49:4022
1268k  221.217.52.10:4022
1250k  123.113.107.131:4022
1246k  mtjkwdrive.zzmd.fun:8888
1185k  ikuai.zlsip.top:4022
1163k  114.243.110.110:4000
1138k  123.114.101.199:4022
1082k  114.254.168.221:4022
1040k  114.254.168.221:8686
933k  111.196.186.191:5555
924k  coolcat.synology.me:4022
